,kgCO2eq,colors,NAME,Mean of Transport,EF_tot,path_length
0,8.975788249999999,#c0bbbb,Infra,Train,,
1,3.9287912320773564,#d3eecd,Czechia,Train,,
2,13.225878484610803,#98d594,Germany,Train,,
3,2.5827158951993496,#4bb062,France,Train,,
4,4.574680552,#c0bbbb,Prod bus,Bus,0.00442,1034.9956
5,25.87489,#f767a1,Fuel bus,Bus,0.025,1034.9956
6,26.49588736,#c0bbbb,Prod car,Car,0.0256,1034.9956
7,198.7191552,#f767a1,Fuel car,Car,0.192,1034.9956
8,138.21181504062477,#27A4B2,Kerosene,Plane,0.1412,
9,222.73388611548302,#4accdb,Contrails & NOx,Plane,0.234,
